ID,問題,正解,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,予備列,解説,問題画像,解説画像
q_0012,Q2. 次のうち、小球性低色素性貧血を呈するものを1つ選んでください。,4,1. 自己免疫性溶血性貧血,2. 再生不良性貧血,3. 腎性貧血,4. 鉄欠乏性貧血,,,鉄はヘモグロビンを造る上で必須であり、鉄が不足した状態では充分量のヘモグロビンを造ることが出来ません。その為、鉄欠乏状態では、正常の赤血球に比べて中身（ヘモグロビン）が少ない、つまり薄くて小さい赤血球が造られます。,,
q_0013,Q3. 次のうち、成人男性の基準範囲として誤っているものを2つ選んでください。,"2,3",1. 赤血球数　500万/μL,2. ヘモグロビン　13.0 g/dL,"3. 白血球数　2,800/μL",4. 血小板数　21.3万/μL,,,"成人男性の基準範囲は、赤血球数　400〜550万/μL、ヘモグロビン　13.5〜17.5 g/dLで、WHOは13.0 g/dL以下を貧血と定義しています。白血球数　3,500〜9,000/μL、血小板数　15〜35万/μLです。ただし、基準範囲は検査施設によって多少の差があるので注意が必要です。",,
q_0014,Q4. 次のうち、正常な赤血球の説明で誤っているものを1つ選んでください。,3,1. 核を持っていない,2. 寿命は120日である,3. 凸レンズ型の細胞である,4. 脾臓で破壊される,,,核を持つ赤芽球が骨髄中で脱核して、核を持たない赤血球として末梢血中に移動します。形状は中凹み円盤型です。末梢血中での寿命は120日間で、寿命が尽きた赤血球はおもに脾臓で破壊処理されます。,,
q_0015,Q5. 次のうち、抗原提示細胞として正しいものを1つ選んでください。,4,1. NK細胞,2. マスト細胞,3. 形質細胞,4. マクロファージ,,,マクロファージは異物を貪食し、分解して異物の小片分子を細胞表面に提示します。これを抗原提示といいます。NK細胞（ナチュラルキラー細胞）はウイルス感染細胞や腫瘍細胞などの異常細胞を傷害します。形質細胞はB細胞（Bリンパ球）が分化した抗体産生細胞です。マスト細胞（肥満細胞）は好塩基球同様Ⅰ型アレルギー反応に関与します。,,
q_0016,Q1. 次のうち、喉頭全体を上下させる筋肉として正しいものを1つ選んでください。,3,1. 輪状甲状筋,2. 後輪状披裂筋,3. 甲状舌骨筋,4. 横・斜披裂筋,5. 外側輪状披裂筋,,喉頭筋は「外喉頭筋」と「内喉頭筋」に分けられます。外喉頭筋には「甲状舌骨筋」「胸骨甲状筋」などがあり、喉頭全体の上げ下げにかかわります。内喉頭筋は喉頭周囲の軟骨を動かして声門裂の開閉や喉頭口の開閉にかかわったりします。内喉頭筋には「輪状甲状筋」「後輪状披裂筋」「外側輪状披裂筋」「横・斜披裂筋」「披裂喉頭挙筋」などがあります。,,
q_0017,Q2. 次のうち、捻髪音（fine crackles）が聴取される疾患として誤っているものを1つ選んでください。,5,1. 特発性肺線維症,2. 放射線肺炎,3. じん肺,4. 過敏性肺炎,5. 肺水腫,,fine cracklesは呼気時に閉じた末梢気道が吸気時に急激に再開放する際に起こり、肺胞が広がりにくくなるような間質性疾患で聴取されます。肺水腫では通常肺胞内が水浸しになるため、coarse cracklesが聴取されます。,,
q_0018,Q3. 次のうち、肺循環系の説明として誤っているものを1つ選んでください。,4,1. 肺循環系に入った脂肪は、小さいものであればマクロファージに貪食され塞栓は起こさない,2. 下肢静脈の血栓が肺循環系に詰まる疾患を肺血栓塞栓症と呼び、長期臥床のほか、飛行機や車での移動などでも発症する,3. 肺循環系は、静脈系の血栓がそのまま脳や心臓へ運ばれるのを防ぐフィルターの役割を果たしている,4. 肺循環系は気管支を栄養している,5. 肺循環系の血管に空気や脂肪が詰まり、肺塞栓症を起こすことがある,,気管支の栄養血管は気管支動脈です。気管支動脈は胸部大動脈か肋間動脈から分岐し、肺門から肺に侵入します。その後、気管支とその枝に沿って走行し、気管支壁で毛細血管となり栄養します。,,
q_0019,Q4. 次のうち、補助呼吸筋として正しいものを2つ選んでください。,"3,4",1. 内肋間筋,2. 横隔膜,3. 胸鎖乳突筋,4. 斜角筋,5. 外肋間筋,,主な呼吸筋として、「内肋間筋」「外肋間筋」「横隔膜」が挙げられます。また、主な補助呼吸筋には、「胸鎖乳突筋」「斜角筋」「僧帽筋」などが挙げられます。,,
q_0020,Q5. 次のうち、左肺に存在しない肺区域として正しいものを1つ選んでください。,2,1. S8,2. S7,3. S6,4. S5,5. S9,,肺区域は、Segmentの頭文字をとって「S」で表します。左肺側には心臓があるため、内側面下部に位置するはずのS7の肺区域が存在していません。,,
q_0021,Q1. 次のうち、自律神経や内分泌を介した生体の恒常性維持機構の例として誤っているものを1つ選んでください。,4,1. 血圧,2. 浸透圧,3. 体温,4. 下肢の筋力,5. 血糖値,,自律神経や内分泌による生体の恒常性維持機構は、外部環境の変化にかかわらず体内の環境を自動的にある一定の範囲に保とうとする働きです。よって、下肢の筋肉のように意図的に制御し得るものはあてはまりません。,,
q_0022,Q2. 次のうち、隣り合う神経細胞同士で細胞の興奮を伝える物質として正しいものを1つ選んでください。,4,1. 結合タンパク,2. サイトカイン,3. ホルモン,4. 神経伝達物質,5. 抗体,,神経細胞間の間隙（シナプス）においてはシナプス前の細胞から神経伝達物質が放出され、シナプス後の細胞に存在する受容体に結合することにより興奮が伝達されます。,,
q_0023,Q3. 次のうち、バソプレシンの特徴として正しいものを1つ選んでください。,5,1. 腎に作用し利尿効果を示す,2. 血圧を低下させる,3. 下垂体前葉から分泌される,4. 循環血液量の増加により分泌が亢進する,5. 血漿浸透圧の上昇により分泌が亢進する,,バソプレシンでは、循環血液量の著明な減少や血漿浸透圧の上昇が刺激となって下垂体後葉からの分泌が亢進します。また、血管収縮作用と、腎での水の再吸収亢進作用（抗利尿作用）をもっています。,,
q_0024,Q4. 次のうち、抗コリン薬の投与により起こる現象として正しいものを1つ選んでください。,1,1. 消化管蠕動抑制,2. 縮瞳,3. 心拍数低下,4. 気管支収縮,5. 尿道括約筋弛緩,,抗コリン薬は副交感神経の作用を抑制します。そのため、消化管内視鏡の前処置として蠕動抑制のために用いられます。,,
q_0025,Q5. 次のうち、コルチゾールの作用として正しいものを1つ選んでください。,1,1. 抗炎症作用,2. 眼圧低下,3. 血糖値低下,4. 血圧低下,5. 骨密度増加,,コルチゾールやその類似物質はステロイド薬としての抗炎症効果への期待から幅広く臨床応用されています、しかし、多彩な作用があるため、全身投与では副作用が問題となることがあります。,,
q_0026,Q1. 次のうち、リモデリングについて誤っているものを1つ選んでください。,4,1. 骨組織の微細損傷と関係している,2. 破骨細胞と骨芽細胞の連携により行われている,3. 閉経以後も行われている,4. 皮質骨では骨膜面で行われている,5. 骨の形態維持に密接に関係している,,骨のモデリングは骨の造形と修正を、リモデリングでは骨内部での組織の新鮮化と再構成を行います。骨膜で行われているのはモデリングになります。リモデリングは成長期、成長完了後、閉経後も骨組織内部で絶えず行われています。破骨細胞が骨組織を吸収・破壊し、骨芽細胞により新しい骨組織が形成されます。骨組織が微小でも損傷されるとリモデリングが行われます。リモデリングは骨の形態維持、身体のカルシウムバランスの維持などと密接な関係があります。,,
q_0027,Q2. 次のうち、成人の正常な関節軟骨に存在するものを2つ選んでください。,"1,5",1. ヒアルロン酸,2. ハイドロキシアパタイト,3. ヘモグロビン,4. アセチルコリン,5. コラーゲン,,細胞外基質（軟骨基質）の主成分は水分で、70〜80％を占めています。水分以外の構成物質は、コラーゲン（ほぼⅡ型）50％、プロテオグリカン30〜35％、非コラーゲン性タンパク質と糖タンパク質が15〜20％となっています。プロテオグリカンはタンパク質とムコ多糖の結合したもので、関節軟骨のムコ多糖はコンドロイチン硫酸とケラタン硫酸が結合したものです。,,
q_0028,Q3. 次のうち、皮質骨の特徴について正しいものを1つ選んでください。,2,1. 力学的異方性がない,2. 同心円性層構造がある,3. 骨梁構造がある,4. 海綿骨より多孔度が高い,5. 海綿骨より剛性が低い,,皮質骨にはハバース管を中心とした同心円性層構造があります。皮質骨は海綿骨よりも緻密で剛性が高く、力学的異方性があります。海綿骨は多孔度が高く、骨梁構造があります,,
q_0029,Q4. 次のうち、長管骨の長軸方向の成長に最も関係するものを1つ選んでください。,3,1. 骨端,2. 骨幹,3. 骨端軟骨,4. 関節軟骨,5. 骨幹端,,骨端軟骨は成長軟骨板ともいいます。言葉が似ているため、部位を覚えましょう。,,
q_0030,Q5. 次のうち、関節軟骨の加齢変化について正しいものを1つ選んでください。,3,1. II型コラーゲンの増加,2. プロテオグリカンの増加,3. 硝子様軟骨の菲薄化,4. 弾性繊維の減少,5. 細胞数の増加,,選択肢の細胞数、弾性繊維、Ⅱ型コラーゲンは減少しません。弾性繊維は加齢に伴い束状化して太くなります。プロテオグリカンsの量的変化はありませんが、タンパク質が増加し、ムコ多糖側鎖においてはコンドロイチン硫酸が減少して、ケタラン酸が増加します。,,
q_0031,Q1. 次のうち、肝小葉の基本的な構造として誤っているものを1つ選んでください。,4,1. 門脈,2. 胆管,3. 類洞,4. 粘膜,,,門脈と動脈からの血液が類洞を流れる間に、必要な成分が肝細胞に取り込まれて利用されます。類洞には類洞内皮が存在します。肝細胞から分泌された胆汁は胆管に流入します。,,
q_0032,Q2. 次のうち、膵臓から分泌されるものとして誤っているものを1つ選んでください。,4,1. インスリン,2. グルカゴン,3. トリプシン,4. 胆汁,,,十二指腸直前で胆管と膵管は合流しますが、膵臓からは胆汁は産生されません。,,
q_0033,Q3. 次のうち、小腸について正しいものを1つ選んでください。,2,1. 主に水分を吸収して糞便を形成する,2. 輪状ひだの上にさらに絨毛、微絨毛を有する,3. 口側2/5を回腸と呼ぶ,4. 蠕動運動のみを行う,,,小腸は、各種栄養素の消化吸収のために表面積が最大となるようになっています。消化管粘膜は皮膚よりも広大な面積で、消化管内腔という外界と接しています。,,
q_0034,Q4. 次のうち、食道の説明として誤っているものを1つ選んでください。,3,1. 下部食道括約筋（LES）が逆流を防いでいる,2. 粘膜上皮は重層扁平上皮である,3. 主に水分を吸収する,4. 門歯から食道裂孔までは約40cmである,,,食道の役割は、口腔から胃まで食物を運ぶことのみです。,,
q_0035,Q5. 次のうち、咀嚼・嚥下に関して、準備期、口腔期に次いで食塊を食道に運び込む段階として正しいものを1つ選んでください。,4,1. 喉頭期,2. 嚥下期,3. 舌圧期,4. 咽頭期,,,複数の脳神経や筋肉が関与して、0.5秒という短時間で食塊を食道に運び込みます。このメカニズムに不調が起きると誤嚥を起こします。,,
q_0036,Q1. 次のうち、異所性妊娠に関する説明として誤っているほうを1つ選んでください。,1,1. 好発部位は卵管峡部である,2. 好発部位は卵管膨大部である,,,,,異所性妊娠の好発部位は卵管膨大部です。,,
q_0037,Q2. 次のうち、排卵時期の頸管粘液の変化について誤っているものを1つ選んでください。,2,1. 羊歯状結晶を形成する,2. 牽糸性が低下する,3. 無色透明である,4. 粘稠度が低下する,5. 量が増える,,排卵時期の頸管粘液の変化には、牽糸性が増すことが挙げられます。,,
q_0038,Q3. 次のうち、視床下部—下垂体—卵巣系のホルモン分泌について誤っているものを1つ選んでください。,3,1. 卵巣からのエストラジオール分泌には莢膜細胞・顆粒膜細胞の2つの細胞が関与する,2. 視床下部—下垂体—卵巣系のホルモン分泌はnegative feedback機構、positive feedback機構の2つで調節されている,3. LHサージは排卵の直後に起こる,4. 月経は卵巣からのエストロゲン・プロゲステロンの分泌が急激に減ることによって起こる,,,LHサージは排卵直前に起こります。,,
q_0039,Q4. 次のうち、配偶子形成のための減数分裂について正しいほうを1つ選んでください。,2,1. 同一種のなかでの多様性や進化の面で重要な仕組みではない,2. 同一種のなかでの多様性や進化の面で重要な仕組みである,,,,,染色体の組み換えが起こることにより、同一種のなかでの多様性が生まれます。,,
q_0040,Q5. 次のうち、基礎体温について誤っているものを1つ選んでください。,5,1. 朝目覚めたときの体温である,2. 卵胞期は低温を示し黄体期には通常36.7℃以上の高温となる,3. 高温期が形成されるのはプロゲステロンの作用である,4. 高温期が21日以上継続する場合は妊娠を疑う,5. 高温期が形成されるのはエストロゲンの作用である,,排卵後に黄体よりプロゲステロンが産生され、その作用によって基礎体温は上昇し、高温期が形成されます。,,
q_0041,Q1. 次のうち、複製で産生されるものを1つ選んでください。,1,1. DNA,2. トランスファーRNA,3. リボソーマルRNA,4. メッセンジャーRNA,,,複製とはDNA情報をもとにDNAをつくることです。RNAはヒトの場合、いずれも転写と呼ばれる現象で、DNAから産生されます。,,
q_0042,Q2. 次のうち、翻訳の開始で使われるアミノ酸を1つ選んでください。,3,1. アラニン,2. プロリン,3. メチオニン,4. トリプトファン,,,RNAの情報からタンパク質を産生する際、開始されるRNAのコドンは1つに決まっており（AUG）、それに対応したアミノ酸はメチオニンです。実験的にはどのアミノ酸に対応したコドンからでも翻訳は可能ですが、細胞内では決まっています。,,
q_0043,Q3. 次のうち、ヒストンの役割として正しいものを1つ選んでください。,4,1. 複製を助ける,2. RNA産生を助ける,3. 核膜構造を維持する,4. DNAを保護する,,,ヒストンは塩基性のタンパク質で、DNAと結合して構造を安定化させます（DNAは酸の一種のため、一種の塩を形成しているといえます）。ヒストンが存在するのは真核細胞の核内のDNAで、原核生物やミトコンドリアDNAには存在しません。ヒストンが結合しないDNAは結合したDNAと比べて不安定で、変異が起こりやすくなります。ヒストンはDNAの保護をしていますが、RNA産生、核膜構造とは関係せず、ヒストンからはずれなければ複製できません。,,
q_0044,Q4. 次のうち、ヒトの遺伝情報について正しいものを1つ選んでください。,4,1. RNAに遺伝情報が保存されている,2. 遺伝情報はタンパク質にも保存される,3. 1つの遺伝子は1つのタンパク質をつくる,4. 遺伝子は核以外にも保存されている,,,遺伝子の本体はデオキシリボ核酸（DNA）であり、その塩基配列が遺伝情報を規定しています。遺伝情報の単位が遺伝子であり通常はタンパク質をコードしていますが、産生するタンパク質は複数あることが多いです。最大の理由はエクソンの組み合わせが変わる、スプライシング機構がある遺伝子が多いことです。遺伝情報がRNAにあるのはRNAウイルスで、生命体には存在しません。また、プリオンというタンパク質性病原体も存在しますが、そのタンパク質の挙動は遺伝情報の定義とは合致しません。RNAに遺伝情報が保存されるのはRNAウイルスです。1つの遺伝子は複数種のタンパク質をつくることが多いです。ミトコンドリア（や植物の葉緑体）遺伝子は核以外にも保存されています。遺伝情報はタンパク質に保存されません。,,
q_0045,Q5. 次のうち、原核生物と真核生物に共通する細胞小器官として正しいものを1つ選んでください。,4,1. ミトコンドリア,2. ゴルジ体,3. 小胞体,4. リボソーム,,,細胞小器官の多くは真核生物のみに見られますが、リボソームだけは翻訳の場として原核生物と真核生物に共通して見られます。ヒトと細菌のリボソームは構成因子が異なり、抗生物質で識別されます。,,
q_0046,Q1. 次のうち、腎に流入する心拍出量のパーセンテージとして正しいものを1つ選んでください。,4,1. 3％,2. 10%,3. 15%,4. 25%,5. 5%,,通常は、心拍出量の20?25%の血液が腎に到達します。,,
q_0047,Q2. 次のうち、腎静脈がより長いほうを1つ選んでください。,2,1. 右腎,2. 左腎,,,,,腎静脈は下大静脈に流入します。大静脈は右側に位置するため、左腎静脈は右腎静脈の3倍ほど長くなります。このため、腎移植には左腎が用いられることが多くなります。,,
q_0048,Q3. 次のうち、正常尿管の長さとして正しいものを1つ選んでください。,1,1. 25cm,2. 20cm,3. 15cm,4. 5cm,5. 10cm,,正常尿管の長さは22?30cmです。,,
q_0049,Q4. 次のうち、副腎のホルモンとして誤っているものを1つ選んでください。,4,1. コルチゾール,2. アルドステロン,3. アンドロゲン,4. エストロゲン,5. ノルアドレナリン,,副腎皮質からはアルドステロン（球状帯）、コルチゾール（束状帯）、アンドロゲン（網状帯）が、髄質からはノルアドレナリン、ドパミンが出ます。エストロゲンは、エストロン、エストラジオール、エストリオールの3種類からなるステロイドホルモンの一種です。女性の体の機能と健康に関与し、一般に卵胞ホルモン、女性ホルモンと呼ばれています。,,
q_0050,Q5. 次のうち、副腎の血管が通常1本であるほうを1つ選んでください。,2,1. 動脈,2. 静脈,,,,,副腎の動脈は上、中、下副腎動脈が被膜下で動脈叢を形成しながら内部に流入します。副腎静脈は左側は左腎静脈に、右側は下大静脈に直接流入するため、副腎に異常があり造影を行う場合には静脈から行います。同時に、ホルモンを採取したりします。,,
q_0051,Q1. 次のうち、抗体について正しいものを1つ選んでください。,1,1. 食作用と関係する,2. 感染後すぐに増加する,3. T細胞が産生する,4. 血清には含まれない,,,抗体は獲得免疫中の液性免疫の主体で、B細胞およびその成熟型の形質細胞が産生します。獲得免疫のため感染後すぐには増加しませんが、増加した後はその特異性により病原体を強く阻害します。抗体自体にも病原体阻害作用がありますが、補体と結合してマクロファージや好中球に貪食されやすくします（オプソニン効果）。血清とは血漿から血液凝固因子を除いた成分ですが、薬剤としては主に含まれる抗体の活性を利用します。,,
q_0052,Q2. 次のうち、キラーT細胞について正しいものを1つ選んでください。,3,1. 抗体を産生する,2. HIV感染で障害される,3. 活性化にはヘルパーＴ細胞が必須である,4. 食作用がある,,,キラーT細胞は獲得免疫のなかでも細胞性免疫を担っており、ヘルパーＴ細胞からサイトカインを通じた刺激を受けて、活性化します。HIV感染で障害されるのはヘルパーT細胞で、キラーT細胞は直接影響を受けません。,,
q_0053,Q3. 次のうち、自然免疫について正しいものを1つ選んでください。,1,1. 始動するのが速い,2. 抗原提示が重要な機序である,3. 結核菌感染を阻止する,4. 病原体に対しての特異性が高い,,,自然免疫は進化的に古くからある免疫と考えられており、病原体侵入から始動までが獲得免疫と比べて速いのが特徴です。しかし、特異性には乏しく、抗原提示を受けて始動する獲得免疫のような機能はありません。また、慢性炎症を起こすような感染ではあまり機能しません。,,
q_0054,Q4. 次のうち、C反応性タンパク（CRP）について正しいものを1つ選んでください。,2,1. 連鎖球菌への特異性が高い,2. 補体活性化を行う,3. 骨髄で産生される免疫タンパクである,4. ヘルパーT細胞に認識される,,,CRPはCreactive proteinの略称で、元来連鎖球菌のC多糖を認識するタンパク質と命名されました。しかし、補体などと相互作用して自然免疫を活性化するタンパク質であり、炎症反応一般で肝臓での産生が上昇します。,,
q_0055,Q5. 次のうち、がんと免疫について正しいものを1つ選んでください。,3,1. 好中球によって認識される,2. 免疫反応で予防できる,3. NK細胞が重要である,4. 寄生虫感染するとがん免疫が活性化される,,,がん細胞は自己の一部のため、通常の免疫反応にはかかりにくいです。しかし、NK細胞はがん細胞が失うことがある主要組織適合遺伝子複合体（MHC）などを手がかりにがん細胞を攻撃できます。丸山ワクチンの議論などにみられるように感染とがん免疫の関係はいまだにはっきりしませんが、少なくとも寄生虫は関係しません。最近、オプジーボなどがん免疫を利用する薬剤の開発が盛んですが、副作用もあり、予防にまでは至っていません。,,
q_0056,Q1. 次のうち、めまいについて誤っているものを1つ選んでください。,4,1. 難聴を認めることがある,2. 不整脈で生じる,3. 起立性低血圧で生じる,4. 脳梗塞では生じない,5. 三半規管の障害で生じる,,めまいの訴えは耳鼻科的疾患だけではなく、選択肢にあるようなさまざまな疾患や病態で生じることがあります。患者が訴える「めまい」という状態が、具体的にどのような症状を指すのかをよく確認することが重要になります。,,
q_0057,Q2. 次のうち、感覚神経の体表における分布（デルマトーム）の臍のレベルとして正しいものを1つ選んでください。,3,1. C4,2. Th8,3. Th10,4. L2,5. Th4,,Th4は乳頭、臍はTh10と覚えるとよいでしょう。,,
q_0058,Q3. 次のうち、てんかんについて正しいものを2つ選んでください。,"1,4",1. 認知症と間違われることがある,2. 必ずけいれんを伴う,3. 意識障害が必発である,4. 外科的治療を行うことがある,5. きわめてまれな疾患である,,てんかんは認知症と間違われることがあり、外科的治療を行うこともあります。てんかんはまれな疾患ではありません。意識障害やけいれんを認めない場合も少なくありません。,,
q_0059,Q4. 次のうち、片頭痛の症状として誤っているものを2つ選んでください。,"2,3",1. 発作が4〜72時間持続する,2. 前兆として膜がかかったような視界となり、その後、頭痛が始まる,3. 嘔気、便秘がある,4. 運動で悪化し、光や音の刺激に過敏である,5. 片側、拍動性である,,片頭痛の症状には嘔気、嘔吐、下痢などが挙げられます。また、その前兆として視野にギザギザした稲妻様の光（閃輝）が現れ、これが次第に拡大して頭痛が始まります。,,
q_0060,Q5. 次のうち、運動性失語の障害が生じる脳の部位として正しいものを1つ選んでください。,3,1. 後頭葉,2. 側頭葉,3. 前頭葉,4. 小脳,5. 頭頂葉,,運動性失語に関連する言語中枢（broca）は前頭葉にあります。,,
q_0061,Q1. 次のうち、頻脈を起こす原因として誤っているものを1つ選んでください。,5,1. ストレス,2. 運動,3. 発熱,4. 心拍出量低下,5. 伝導障害,,頻脈（100回/分以上）の生理的原因として、運動、食事、入浴、ストレスなどが挙げられます。病的原因としては、発熱、貧血、甲状腺機能亢進、不整脈、循環血液量低下、心拍出量低下などが挙げられます。,,
q_0062,Q2. 次のうち、説明が誤っているものを1つ選んでください。,5,1. 心房は洞房結節を指令に興奮が起こる,2. プルキンエ線維は伝導が伝わりやすい,3. 房室結節の伝導速度は他の部位より遅い,4. 心室筋に興奮が伝わると脱分極する,5. 心室中隔では伝導路は前脚と後脚に分かれる,,ヒス束を出た後、伝導路は心室中隔を下行します。この際に左脚と右脚に分かれます。この後、左脚は前脚と後脚に分かれます。,,
q_0063,Q3. 次のうち、血圧の調節について誤っているものを1つ選んでください。,3,1. 一酸化窒素は血管を弛緩させる,2. アルドステロン分泌は血圧上昇に働く,3. ヒスタミンは血管を収縮させる,4. バゾプレッシン分泌で水の再吸収が促進される,5. アンジオテンシンIIは血管収縮に働く,,体内にはさまざまな血管収縮、弛緩因子があります。弛緩させるものとして、ANP、NO、AM、PGI2、キニン類、ヒスタミンなどを押さえておくとよいでしょう。,,
q_0064,Q4. 次のうち、心臓の活動と心電図の関係の組み合わせとして誤っているものを１つ選んでください。,1,1. 心室筋の脱分極の始まり→R波,2. 心室筋の興奮→QRS波,3. 再分極終了→U波,4. 心筋の再分極→T波,5. 心房筋の収縮→P波,,心室筋の脱分極の始まりはQ波です。その後、心筋全体が収縮する際にR波が出ます。,,
q_0065,Q5. 次のうち、心臓活動の調節について正しいものを2つ選んでください。,"2,4",1. 心臓の前負荷は血管抵抗を指す,2. 心筋の収縮力は心筋が伸展するほど上昇する,3. 副交感神経は心筋興奮閾値を下げる,4. 交感神経には陽性変力作用がある,5. 心臓の後負荷は心臓に還流する血液量を指す,,心臓の前負荷は心臓への還流量を、後負荷は血管抵抗を指します。交感神経は変力作用などに対して陽性に働きます。,,
q_0066,Q1. 次のうち、用語の説明が誤っているものを1つ選んでください。,1,1. II型肺胞上皮細胞：薄い膜状の細胞で肺胞表面の95%を占める,2. 杯細胞：粘液を分泌し、異物を絡める,3. クララ細胞：サーファクタント様の物質を産生、分泌する,4. 線毛細胞：管腔面に存在する線毛が喉頭に向かって波打ち、異物を外へ排出する,5. 肺胞マクロファージ：吸気中のほこりや細菌を貪食する,,II型肺胞上皮細胞はサーファクタントを放出する大型細胞です。薄い膜状でガス拡散を担うのはI型肺胞上皮細胞です。,,
